ID,EARK_ID,Type,Level,Path,Section,XPath,Description,Cardinality,Datatype,Name,Obligation,Vocabulary,Covered by XSD,Cardinality XSD
MSIP38,SIP20,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='ORGANIZATION']/note/@csip:NOTETYPE`,This submitting agent note attribute value MUST be set to `IDENTIFICATIONCODE`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Classification of the submitting agent agent additional information,MUST,`IDENTIFICATIONCODE`,,
MSIP39,SIP21,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='INDIVIDUAL']`,Optional contact person for meemoo for the submission of the SIP.,0..*,,Contact person agent,MAY,,,
MSIP40,SIP22,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='INDIVIDUAL']/@ROLE`,The role of the contact person agent MUST be set to `CREATOR`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Contact person agent role,MUST,`CREATOR`,,
MSIP41,SIP23,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='INDIVIDUAL']/@TYPE`,The type of the contact person agent MUST be set to `INDIVIDUAL`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Contact person agent type,MUST,`INDIVIDUAL`,,
MSIP42,SIP24,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='INDIVIDUAL']/name`,Name of the contact person.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Contact person agent name,MUST,,,
MSIP43,SIP25,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='CREATOR' and @TYPE='INDIVIDUAL']/note`,"The contact person agent MAY have one or more notes providing the actual contact information, such as an address, e-mail, telephone number...",0..*,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Contact person agent additional information,MAY,,,
MSIP44,SIP26,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='PRESERVATION']`,"The CP, organization or person/people that preserve the package.",0..1,,Preservation agent,MAY,,,
MSIP45,SIP27,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='PRESERVATION']/@ROLE`,The role of the preservation agent MUST be set to `PRESERVATION`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Preservation agent role,MUST,`PRESERVATION`,,
MSIP46,SIP28,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='PRESERVATION']/@TYPE`,The type of the preservation agent.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Preservation agent type,MUST,`ORGANIZATION``INDIVIDUAL``OTHER`,,
MSIP47,CSIP14;SIP29,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='PRESERVATION']/name`,Name of the preservation agent.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Preservation agent name,MAY,,,
MSIP48,CSIP15;SIP30,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent[@ROLE='PRESERVATION']/note`,The preservation agent MAY have a note providing a unique identification code.,0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Preservation agent additional information,MAY,,,
MSIP49,SIP31,Attribute,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:agent/note[@ROLE='PRESERVATION']/@csip:NOTETYPE`,This preservation agent note attribute value MUST be set to `IDENTIFICATIONCODE`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Classification of the preservation agent additional information,MUST,`IDENTIFICATIONCODE`,,
MSIP50,SIP5,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:altRecordID[@TYPE='SUBMISSIONAGREEMENT']`,"An optional reference to the submission agreement associated with the SIP.When used, the `@TYPE` attribute MUST be set to `SUBMISSIONAGREEMENT`.",0..1,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Submission agreement,MAY,,,
MSIP51,SIP6,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:altRecordID[@TYPE='PREVIOUSSUBMISSIONAGREEMENT']`,"An optional reference to a previous submission agreement associated with the SIP.When used, the `@TYPE` attribute MUST be set to `PREVIOUSSUBMISSIONAGREEMENT`.",0..*,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Previous submission agreement,MAY,,,
MSIP52,SIP7,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:altRecordID[@TYPE='REFERENCECODE']`,"An optional reference to indicate where in the archival hierarchy the package shall be placed in meemoo's archive.When used, the `@TYPE` attribute MUST be set to `REFERENCECODE`.",0..1,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Archival reference code,MAY,,,
MSIP53,SIP8,Element,Package,/METS.xml,metsHdr,`/mets:mets/mets:metsHdr/mets:altRecordID[@TYPE='PREVIOUSREFERENCECODE']`,"In cases where the SIP originates from other institutions maintaining a reference code structure, this element can be used to record these reference codes and therefore support the provenance of the package when a whole archival description is not submitted with the submission.When used, the `@TYPE` attribute MUST be set to `PREVIOUSREFERENCECODE`.",0..*,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Previous archival reference code,MAY,,,
MSIP54,CSIP17,Element,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec`,"Wrapper element that contains a reference to a separate descriptive metadata file in the directory `/metadata/descriptive`.It MUST be used if descriptive metadata for the package content is available. Each `dmdsec` contains a single reference to a descriptive metadata file and MUST be repeated for multiple metadata files, when available.",0..*,,Descriptive metadata section,SHOULD,,,
MSIP55,CSIP18,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/@ID`,A unique identifier for the `dmdSec` used for internal package references.It MUST be unique within the SIP.,1..1,[ID]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#id),Descriptive metadata section identifier,MUST,,,
MSIP56,CSIP19,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/@CREATED`,Creation date and time of the descriptive metadata referenced in this section.,1..1,[XML Schema datetime]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#xsd-datetime),Descriptive metadata creation datetime,MUST,,,
MSIP57,CSIP20,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/@STATUS`,"Describes the status of the `dmdSec` which is supported by the profile.Meemoo investigates the use of the `@STATUS` attribute for future use cases such as e.g. a descriptive metadata update (i.e. ingest of metadata only with the goal of updating, adding or deleting existing metadata in meemoo's archive system).",0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Status of the descriptive metadata,SHOULD,`CURRENT``SUPERSEDED`,,
MSIP58,CSIP21,Element,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mdRef`,Reference to the descriptive metadata file(s) located in the `/metadata/descriptive directory`.,1..1,,Reference to the document with the descriptive metadata,MUST,,,
MSIP59,CSIP22,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef[@LOCTYPE='URL']`,Indication of the locator type used to refer to the descriptive metadata file in the /metadata/descriptive directory.It MUST always be used with the value `URL`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Type of locator,MUST,,,
MSIP60,CSIP23,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef[@xlink:type='simple']`,"This attribute's value MUST be set to `simple`, in order to indicate a simple 'HTML-like' link.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Type of link,MUST,,,
MSIP61,CSIP24,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@xlink:href`,"Indication of the actual location of the descriptive metadata file.As indicated by the `@LOCTYPE` attribute, this filepath MUST be a URL type filepath.",1..1,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Resource location,MUST,,,
MSIP62,CSIP25,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@MDTYPE`,Specification of the type of metadata that is used in the externally located descriptive metadata file(s) in the `/metadata/descriptive` directory.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Type of descriptive metadata,MUST,`MODS``DC``OTHER`,,
MSIP63,CSIP26,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@MIMETYPE`,The media/mime type of the referenced file.,1..1,[IANA mime type]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#mimetype),File mime type,MUST,,,
MSIP64,CSIP27,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@SIZE`,Size of the referenced file; this MUST be in bytes.,1..1,[Integer]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#integer),File size,MUST,,,
MSIP65,CSIP28,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@CREATED`,The creation date and time of the referenced file.,1..1,[XML Schema datetime]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#xsd-datetime),File creation datetime,MUST,,,
MSIP66,CSIP29,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@CHECKSUM`,The checksum of the referenced file.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),File checksum,MUST,,,
MSIP67,CSIP30,Attribute,Package,/METS.xml,dmdSec,`/mets:mets/mets:dmdSec/mets:mdRef/@CHECKSUMTYPE`,A value from the METS-standard which identifies the algorithm used to calculate the checksum for the referenced file. This MUST be set to `MD5`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),File checksum type,MUST,,,
MSIP68,CSIP31,Element,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec`,"Wrapper element that contains a reference to a separate preservation metadata file in the directory `/metadata/preservation`.It MUST be used if preservation metadata for the package content is available.All preservation metadata MUST be present in a single metadata file, resulting in a single `amdSec` element.",0..1,,Administrative metadata section,SHOULD,,,
MSIP69,CSIP32,Element,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD`,Wrapper element for including preservation information using the PREMIS standard.,1..1,,Digital provenance metadata,MUST,,,
MSIP70,CSIP33,Attribute,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/@ID`,A unique identifier used for internal package references.It MUST be unique within the SIP.,1..1,[ID]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#id),Digital provenance metadata identifier,MUST,,,
MSIP71,CSIP34,Attribute,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/@STATUS`,"Describes the status of the `digiprovMD` which is supported by the profile.Meemoo investigates the use of the `@STATUS` attribute for future use cases such as e.g. a preservation metadata update (i.e. ingest of metadata only with the goal of updating, adding or deleting existing metadata in meemoo's archive system).",0..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string); fixed vocabulary,Status of the digital provenance metadata,SHOULD,`CURRENT``SUPERSEDED`,,
MSIP72,CSIP35,Element,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/mets:mdRef`,Reference to the preservation metadata file located in the `/metadata/preservation` directory.,1..1,,Reference to the file with the preservation metadata.,MUST,,,
MSIP73,CSIP36,Attribute,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/mets:mdRef[@LOCTYPE='URL']`,Indication of the locator type used to refer to the preservation metadata file in the `/metadata/preservation` directory.It MUST always be used with the value `URL`.,1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Type of locator,MUST,,,
MSIP74,CSIP37,Attribute,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/mets:mdRef[@xlink:type='simple']`,"This attribute's value MUST be set to `simple`, in order to indicate a simple 'HTML-like' link.",1..1,[String]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#string),Type of link,MUST,,,
MSIP75,CSIP38,Attribute,Package,/METS.xml,amdSec,`/mets:mets/mets:amdSec/digiprovMD/mets:mdRef/@xlink:href`,"Indication of the actual location of the preservation metadata file.As indicated by the `@LOCTYPE` attribute, this filepath MUST be a URL type filepath.",1..1,[URL]({{ site.baseurl }}{% link docs/diginstroom/sip/2.1/2_terminology.md %}#url),Resource location,MUST,,,
